ndc,fei,registrant,country,anda,nda,bla,linkage_method,api_mfr
0228-3090,2211563,Actavis Elizabeth LLC,US,ANDA-079040,,,ADDRESS_MATCH,
0228-3116,2211563,Actavis Elizabeth LLC,US,ANDA-079040,,,ADDRESS_MATCH,
0228-3091,2211563,Actavis Elizabeth LLC,US,ANDA-079040,,,ADDRESS_MATCH,
0228-3117,2211563,Actavis Elizabeth LLC,US,ANDA-079040,,,ADDRESS_MATCH,
0228-3092,2211563,Actavis Elizabeth LLC,US,ANDA-079040,,,ADDRESS_MATCH,
0228-3093,2211563,Actavis Elizabeth LLC,US,ANDA-079040,,,ADDRESS_MATCH,
68071-5114,3008307735,Hetero Labs Limited,IN,ANDA-203835,,,SPL_DUNS_FEI,
63629-8484,3008298016,"ScieGen Pharmaceuticals, INC.",US,ANDA-204989,,,SPL_DUNS_FEI,
0143-9579,2220525,Hikma Pharmaceuticals USA Inc.,US,ANDA-080407,,,ADDRESS_MATCH,
0143-9578,2220525,Hikma Pharmaceuticals USA Inc.,US,ANDA-080407,,,ADDRESS_MATCH,
0143-9577,2220525,Hikma Pharmaceuticals USA Inc.,US,ANDA-080407,,,ADDRESS_MATCH,
0143-9576,2220525,Hikma Pharmaceuticals USA Inc.,US,ANDA-080407,,,ADDRESS_MATCH,
0143-9575,2220525,Hikma Pharmaceuticals USA Inc.,US,ANDA-080407,,,ADDRESS_MATCH,
0143-9172,2220525,Hikma Pharmaceuticals USA Inc.,US,ANDA-080407,,,ADDRESS_MATCH,
0143-9173,2220525,Hikma Pharmaceuticals USA Inc.,US,ANDA-080407,,,ADDRESS_MATCH,
71335-2581,2000021110,"CSPC Ouyi Pharmaceutical Co., Ltd.",CN,ANDA-208249,,,SPL_DUNS_FEI,
51672-1376,3002808384,"Taro Pharmaceuticals U.S.A., Inc.",CA,ANDA-208201,,,SPL_DUNS_FEI,
68071-3470,3012932394,Graviti Pharmaceuticals Private Limited,IN,ANDA-209912,,,ADDRESS_MATCH,
69238-2092,3010661577,"Amneal Pharmaceuticals of New York, LLC",IN,ANDA-209721,,,SPL_DUNS_FEI,
69238-2093,3010661577,"Amneal Pharmaceuticals of New York, LLC",IN,ANDA-209721,,,SPL_DUNS_FEI,
69238-2094,3010661577,"Amneal Pharmaceuticals of New York, LLC",IN,ANDA-209721,,,SPL_DUNS_FEI,
69238-2095,3010661577,"Amneal Pharmaceuticals of New York, LLC",IN,ANDA-209721,,,SPL_DUNS_FEI,
10702-016,3005117563,"KVK-TECH, INC.",US,ANDA-079175,,,SPL_DUNS_FEI,
67296-1762,3008223599,"Amneal Pharmaceuticals of New York, LLC",IN,ANDA-207289,,,SPL_DUNS_FEI,
